NORTHEAST REGION MARINE MAMMAL BYCATCH BY FISHERY ,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Mid-Atlantic Gillnet Fisheries,,,,,,
Bottlenose dolphin - Northern North Carolina Estuarine System,Tursiops truncatus,2006-2008,                  18.99,INDIVIDUAL,.11,aa
Bottlenose dolphin - Southern North Carolina Estuarine System,Tursiops truncatus,2006-2008,                   0.92,INDIVIDUAL,.21,aa
Bottlenose dolphin - Western North Atlantic Northern Migratory Coastal,Tursiops truncatus,2006-2008,                   6.02,INDIVIDUAL,.19,aa
Bottlenose dolphin - Western North Atlantic Southern Migratory Coastal,Tursiops truncatus,2006-2008,                  41.91,INDIVIDUAL,.14,aa
Grey seal - Western North Atlantic,Halichoerus grypus,2008-2012,                  60.00,INDIVIDUAL,.67,dd
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2008-2012,                 199.00,INDIVIDUAL,.37,dd
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                  49.00,INDIVIDUAL,.33,dd
Harp seal - Western North Atlantic,Pagophilus groenlandicus,2006-2010,                  63.00,INDIVIDUAL,.46,bb
Fishery Total,,,                 438.84,,,
Mid-Atlantic Mid-Water Otter Trawl,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2008-2012,                   3.80,INDIVIDUAL,.61,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                   0.20,INDIVIDUAL,,
Fishery Total,,,                   4.00,,,
Mid-Atlantic Otter Trawl Fisheries,,,,,,
Bottlenose dolphin - Western North Atlantic Offshore,Tursiops truncatus,2008-2012,                  21.00,INDIVIDUAL,.22,
Grey seal - Western North Atlantic,Halichoerus grypus,2008-2012,                  19.00,INDIVIDUAL,.48,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                  12.00,INDIVIDUAL,.6,
Risso's dolphin - Western North Atlantic,Grampus griseus,2008-2012,                  37.00,INDIVIDUAL,.36,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2008-2012,                 161.00,INDIVIDUAL,.17,
Fishery Total,,,                 250.00,,,
New England Gillnet Fisheries,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2008-2012,                  35.00,INDIVIDUAL,.44,
Grey seal - Western North Atlantic,Halichoerus grypus,2008-2012,                 974.00,INDIVIDUAL,.12,
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2008-2012,                 439.00,INDIVIDUAL,.18,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                 378.00,INDIVIDUAL,.13,
Harp seal - Western North Atlantic,Pagophilus groenlandicus,2006-2010,                 218.00,INDIVIDUAL,.2,
Long-finned pilot whale - Western North Atlantic,Globicephala melas,2008-2012,                   0.60,INDIVIDUAL,.82,
Risso's dolphin - Western North Atlantic,Grampus griseus,2008-2012,                   1.20,INDIVIDUAL,.87,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2008-2012,                  56.00,INDIVIDUAL,.29,
Fishery Total,,,"               2,101.80",,,
New England Mid-Water Otter Trawl,,,,,,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                   0.90,INDIVIDUAL,.81,
Long-finned pilot whale - Western North Atlantic,Globicephala melas,2008-2012,                   3.00,INDIVIDUAL,.61,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2008-2012,                   0.40,INDIVIDUAL,,
Fishery Total,,,                   4.30,,,
New England Otter Trawl Fisheries,,,,,,
Atlantic white-sided dolphin - Western North Atlantic,Lagenorhynchus acutus,2008-2012,                  77.00,INDIVIDUAL,.16,
Bottlenose dolphin - Western North Atlantic Offshore,Tursiops truncatus,2008-2012,                  10.00,INDIVIDUAL,.49,
Grey seal - Western North Atlantic,Halichoerus grypus,2008-2012,                  33.00,INDIVIDUAL,.18,
Harbor porpoise - Gulf of Maine / Bay of Fundy,Phocoena phocoena,2008-2012,                   2.30,INDIVIDUAL,.6,
Harbor seal - Western North Atlantic,Phoca vitulina concolor,2008-2012,                   2.40,INDIVIDUAL,.5,
Long-finned pilot whale - Western North Atlantic,Globicephala melas,2008-2012,                  31.00,INDIVIDUAL,.16,
Minke whale - Canadian East Coast,Balaenoptera acutorostrata,2008-2012,                   1.60,INDIVIDUAL,.69,
Risso's dolphin - Western North Atlantic,Grampus griseus,2008-2012,                   2.00,INDIVIDUAL,.3,
Short-beaked common dolphin - Western North Atlantic,Delphinus delphis,2008-2012,                  55.00,INDIVIDUAL,.21,
Fishery Total,,,                 214.30,,,
Grand Total,,,"               3,013.24",,,